"","Date","TrapID","New_Recap","Species","Sex","Age","Weight","Comments","NA","NA","NA","NA","NA","Pregnant","Lactating","Breeding"
"85",2011-06-01,"2H","New","Peromyscus maniculatus",NA,NA,NA,"Escaped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"86",2011-06-01,"2I","Recapture","Peromyscus maniculatus","Female","Adult",25.5,"Agg=1, mongo preg,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"87",2011-06-01,"2J","New","Tamias amoenus","Male","Adult",NA,"Hair,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"88",2011-06-01,"2K","Recapture","Myodes gapperi","Male","Adult",19,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"89",2011-06-01,"2L","Recapture","Tamias amoenus",NA,NA,NA,"Forgot A/S,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"90",2011-06-01,"1T","Recapture","Peromyscus maniculatus","Female","Adult",18.5,"Forgot hair, Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"91",2011-06-01,"1R","Recapture","Myodes gapperi","Male","Adult",17.5,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"92",2011-06-01,"1Q","Recapture","Peromyscus maniculatus","Female","Adult",15.5,"Agg=3,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"93",2011-06-01,"1C","Recapture","Peromyscus maniculatus","Female","Adult",24,"Agg=1,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"94",2011-06-01,"1D","New","Mustela erminea",NA,NA,NA,",Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"95",2011-06-01,"1E","Recapture","Peromyscus maniculatus","Female","Adult",19.5,"Agg=2,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
"96",2011-06-01,"1G ","New","Peromyscus maniculatus",NA,NA,NA,"Escaped,Rep_Con: NA,Tag1: NA,Tag2: NA",NA,NA,NA,NA,NA,NA,NA,NA
