,Trap#,,Spp.,Tag (one),Tag (two),Sex,Age,Wt (g),Condition,Remarks
19/05/2008,1R,N,Pm,4507,4508,F,A,15.5,NB,
21/05/2008,1R,N,Mg,4514,4515,M,A,21,NS,
26/05/2008,1R,R,Pm,2549,2550,M,A,?,S,
28/05/2008,1R,N,Ta,-,-,F,A,47.5,NB,hair sample taken
11/06/2008,1R,R,Pm,-,-,F,A,19.5,NB,ESCAPED
16/06/2008,1R,-,Mg,-,-,-,A,-,-,ESCAPED
20/06/2008,1R,R,Ta,-,-,F,A,?,NB,
27/06/2008,1R,R,Pm,2550,-,M,A,21.5,S,
03/07/2008,1R,N,Ta,-,-,M,A,44,S,
16/07/2008,1R,N,Pm,9820,9821,F,A,24.5,LAC,
21/07/2008,1R,R,Pm,9815 (NEW),9828,F,A,26,PREG,
28/07/2008,1R,R,Pm,2894,9816,M,A,20.5,NS,
06/08/2008,1R,N,Ta,-,-,M,A,48,S,
13/08/2008,1R,R,Pm,2894,-,M,A,19,S,EAR RIPPED
18/08/2008,1R,R,Pm,2894,-,M,A,18.5,S,
22/08/2008,1R,-,Pm,-,-,-,-,-,-,ESCAPED
25/08/2008,1R,R,Pm,2894,-,M,A,20,NS,
27/08/2008,1R,R,Pm,2894,-,M,A,19,S,
28/05/2008,1S,R,Pm,3952,4595,M,A,15,NS,
16/06/2008,1S,N,Ta,-,-,F,A,>50,NB,hair sample taken
20/06/2008,1S,R,Pm,4312,4472,F,A,?,P,
23/06/2008,1S,R,Pm,2883 (NEW),4587 (NEW),M,A,24.5,NS,BOTH TAGS ARE NEW
27/06/2008,1S,N,Zp,-,-,F,A,24,NB,HAIR SAMPLE TAKEN
03/07/2008,1S,N,Mg,2976,2984,F,A,30,NB,
16/07/2008,1S,R,Mg,9818 (NEW),9819 (NEW),F,A,23.5,LAC,
30/07/2008,1S,R,Mg,4421,-,F,A,33,P/L,
13/08/2008,1S,R,Mg,4338,4339,M,A,14.5,NS,
27/08/2008,1S,N,Pm,5250,9851,F,J,14,NB,
13/05/2008,1T,-,Ta,-,-,M,A,49.5,NS,
21/05/2008,1T,R,Pm,4507,4508,F,A,18.5,NB,
26/05/2008,1T,R,Pm,3952,3595,M,A,18,NS,
28/05/2008,1T,R,Pm,4312,4313,F,A,24.5,Preg,one ear completelJ ripped
04/06/2008,1T,R,Pm,2549,2550,M,A,23.5,S,
16/06/2008,1T,N,Mg,4471,-,F,A,22.5,NB,SCRUFFED TOO HARD
21/07/2008,1T,R,Mg,9818,4421 (NEW),F,A,21,NB,4421 IS NEW
23/07/2008,1T,R,Mg,4421,9818,F,A,12.5,LAC,
13/08/2008,1T,N,Zp,-,-,F,A,30,NB/PREG,
13/05/2008,2A,N,Pm,4516,4517,F,A,16,NB,
19/05/2008,2A,R,Pm,4516,4517,M,A,16,S,
21/05/2008,2A,R,Pm,4317,4503,M,A,14,NS,
26/05/2008,2A,R,Pm,4503,4504,M,A,22.5,S,
02/06/2008,2A,R,Pm,4316,4503,M,A,18,S,
11/06/2008,2A,R,Pm,4516,4517,F,A,21.5,Lac,
16/06/2008,2A,R,Pm,3953,3956,F,A,23,NB,
27/06/2008,2A,R,Ta,-,-,F,A,> 60,NB,
03/07/2008,2A,R,Pm,3814,4517,F,A,18,NB,
07/07/2008,2A,R,Ta,-,-,F,A,52.5,NB,
09/07/2008,2A,R,Mg,3911,3912,M,A,22.5,S,
14/07/2008,2A,R,Pm,3814,4517,F,A,19,NB,
16/07/2008,2A,R,Pm,3814,4517,F,A,20,NB,
28/07/2008,2A,N,Pm,9922,9923,M,J,14,NS,
04/08/2008,2A,R,Ta,-,-,M,A,> 53,S,SHORT TAIL
06/08/2008,2A,R,Pm,2939,9808,M,J,14,NS,
11/08/2008,2A,N,Ta,-,-,M,A,> 60,NS,CLIPPED
13/08/2008,2A,R,Mg,4362,-,F,A,30.5,LAC/PREG,
13/08/2008,2A,N,Pm,5144,5145,F,A,18.5,NB,
22/08/2008,2A,N,Ta,-,-,F,A,> 51.5,NB,
27/08/2008,2A,R,Pm,5144,5145,F,A ,17,NB,
03/07/2008,2B,R,Ta,-,-,F,A,> 50,NB,
09/07/2008,2B,R,Ta,-,-,M,A,55,NS,
25/08/2008,2B,R,Ta,-,-,M,A,> 54,S,
13/05/2008,2C,R,Pm,3953,3956,F,A,18,NS,"both old tags were missing, news tags were put in"
15/05/2008,2C,N,Pm,4323,4322,F,A,18,B,
21/05/2008,2C,N,Pm,4509,4510,M,A,18,NS,
26/05/2008,2C,N,Mg,4511,4512,F,A,21.5,Perf,
03/07/2008,2C,R,Mg,4447,4511,F,A,21,LAC,
07/07/2008,2C,R,Mg,4447,-,F,A,22,NB,OLD LAC
09/07/2008,2C,R,Mg,4447,-,F,A,25,NB,
14/07/2008,2C,R,Ta,-,-,F,A,> 49.5 ,NB,
16/07/2008,2C,R,Pm,2937,2938,M,A,20.5,S,
21/07/2008,2C,R,Mg,4447,4511,F,A,21.5,NB,
06/08/2008,2C,R,Pm,3814,4517,F,A,21,NB,OLD LAC
11/08/2008,2C,R,Pm,3814,4517,F,A,25,PREG,
13/08/2008,2C,R,Pm,3314,4517,F,A,21,LAC,
18/08/2008,2C,R,Pm,2939,9808,M,J,14,NS,
22/08/2008,2C,N,Mg,9846,9848,F,A,27,PREG,
25/08/2008,2C,N,Pm,9856,9857,M,J,18,NS,
27/08/2008,2C,R,Pm,2939,9855,M,A,16,NS,
21/05/2008,2D,R,Pm,4322,4323,F,A,23,NB,
09/07/2008,2D,R,Ta,-,-,F,A,> 60,NB,
25/08/2008,2D,N,Ta,-,-,M,A,49,NS,
19/05/2008,2E,N,Pm,4503,4504,M,A,-,NS,
09/07/2008,2E,R,Mg,-,-,-,A,22,-,"escaped, tumor on head"
21/07/2008,2E,R,Pm,3953,9824,F,A,24.5,PREG,OLD LAC
23/07/2008,2E,R,Mg,4447,4511,F,A,25,NB,
30/07/2008,2E,N,Pm,9903,9904,M,A,15.5,NS,
06/08/2008,2E,R,Mg,5148,5150,M,A,22,NS,
25/08/2008,2E,R,Pm,2939,9855 (NEW),M,J,17,NS,
27/08/2008,2E,R,Pm,9856,9857,M,A,15,NS,
20/06/2008,2F,R,Mg,3910,4475,M,A,22,NS,
23/06/2008,2F,R,Mg,-,-,M,A,19.5,NS,"EAR TOO RIPPED, CLIPPED X PATTERN"
27/06/2008,2F,R,Mg,2955 (NEW),2975 (NEW),M,A,21,S,"ADDED 2955, 2975"
09/07/2008,2F,R,Ta,-,-,M,A,54,NS,
28/07/2008,2F,N,Zp,-,-,-,A,-,-,ESCAPED
11/08/2008,2F,N,Zp,-,-,F,A,40,PREG,
18/08/2008,2F,R,Mg,5142,5143,F,A,35,PREG ,
25/08/2008,2F,N,Zp,-,-,F,A,23,NB,
16/06/2008,2G,R,Mg,2885,4475,M,A,20.5,S,
20/06/2008,2G,R,Mg,3907,3999,M,A,19.5,S,
03/07/2008,2G,R,Ta,-,-,F,A,> 46,NB,
09/07/2008,2G,R,Ta,-,-,M,A ,> 60,NS,
14/07/2008,2G,R,Mg,2987 (NEW),4515,M,A,23.5,S,2987 IS NEW
16/07/2008,2G,N,Pm,4424,4425,F,J,16,NB,
21/07/2008,2G,R,Pm,4424,4425,F,J,18,NB,
23/07/2008,2G,R,Pm,4424,4425,F,J,22.5,NB,
30/07/2008,2G,N,Mg,4451,4454,-,J,-,-,ESCAPED
06/08/2008,2G,R,Mg,CUT ON MIDBACK,,M,A,19,NS,
13/08/2008,2G,R,Mg,CUT MID BACK HIGH ACROSS,,M,A,20,NS,
07/07/2008,2H,R,Mg,-,-,F,A,25,PREG,"GIVING BIRTH, RELEASED"
16/07/2008,2H,R,Mg,2897,4515,M,A,25.5,S,
23/07/2008,2H,R,Pm,2894,9816,M,A,20,S,
11/08/2008,2H,R,Mg,CUT HIGHT ON BACK,,M,A,23,NS,
22/08/2008,2H,R,Mg,LOWER HORIZONTAL STRIP ON BACK,,M,A,20,NS,
07/07/2008,2I,N,Mg,4407,4515,M,A,24,NS,
14/07/2008,2I,R,Ta,-,-,M,A,52,NS,
16/07/2008,2I,R,Mg,-,-,M,A,22,S,CUT ON BOTH SIDE OF BUM
23/07/2008,2I,R,Mg,4362,-,F,A,37,PREG,GIVING BIRTH
15/05/2008,2J,N,Pm,4320,4321,M,A,21,NS,
21/05/2008,2J,R,Pm,4598,4599,F,A,20,NB,
26/05/2008,2J,R,Pm,4505,4506,F,A,19,NB,
02/06/2008,2J,R,Pm,2893 (NEW),2894 (NEW),M,A,20.5,S,"hair sample taken, both tags are new"
30/06/2008,2J,R,Pm,2894,4401 (NEW),M,A,19,S,4401 ADDED
03/07/2008,2J,N,Mg,-,-,-,-,23.5,-,ESCAPED
09/07/2008,2J,N,Ta,-,-,M,A,> 60,S,
04/08/2008,2J,R,Pm,4466,4473,F,A,27,PREG,
22/08/2008,2J,R,Mg,V SHAPED ON BACK,,M,A,28,NS,
25/08/2008,2J,N,Ta,-,-,M,A,52,NS,
27/08/2008,2J,R,Ta,-,-,M,A,> 48,NS,
19/05/2008,2K,N,Pm,4504,4505,F,A,19,NB,
02/06/2008,2K,R,Pm,2892 (NEW),4505,F,A,23,Preg,2892 is new tag
11/06/2008,2K,R,Mg,3907,3999,M,A,19,S,
16/06/2008,2K,R,Pm,4473,4474,F,A,19,NB,
23/06/2008,2K,R,Pm,4466,4473,F,A,21,LAC,4466 - NEW
30/06/2008,2K,R,Pm,4466,4473,F,A,22,NB,OLD LAC
03/07/2008,2K,R,Pm,4466,4473,F,A,20,NB,
09/07/2008,2K,N,Mg,4410,4460,M,A,19,NS,
