Date,Trap#,Spp.,New/Recap,Tag (one),Tag (two),Sex,Age,Wt,Condition,Dye,Remarks
20-jul,1D,Pm,R,2162,,M,A,20.5,S,,
20-jul,2M,Mg,N,2307,,F,A,19,NB,,
20-jul,2L,Mg,R,4051,,M,A,21.5,NS,,
20-jul,1P,Pm,R,8756,,F,A,20,L,,"Poop, orange, comb = 0"
20-jul,2G,Mg,N,8759,,F,YY,17,NB,,
20-jul,2L,Mg,N,8762,,,J,16,,,
20-jul,2F,Mg,N,8763,,M,J,15.5,NS,,
20-jul,1O,Pm,R,8891,,F,A,26,P,,"Pink, ran towards creek"
20-jul,1L,Mg,R,stubby tail,,M,A,27,S,,
24-jul,1T,Pm,R,2136,2137,M,YY,18,S,,
24-jul,2L,Pm,R,2179,2180,M,YY,15,NS,,
24-jul,2C,Pm,R,2301,2302,M,YY,20.5,S,,
24-jul,1H,Mg,N,2309,2310,F,J,19.5,NB,,
24-jul,1I,Mg,R,2311,2312,F,A,30,P/L,,"New tags, stubby tail"
24-jul,2L,Pm,N,2313,2314,M,A,19,S,,
24-jul,2E,Pm,N,2315,2317,F,YY,24,L,,
24-jul,1A,Pm,R,2162,,M,A,22.5,S,,
24-jul,1Q,Mg,R,4051,,M,A,23,S,,
24-jul,1S,Pm,R,8756,,F,A,21,L,,rub/orange
24-jul,2M,Mg,R,8762,,F,J,19,NB,,
24-jul,2K,Pm,R,8891,,F,A,27,P/L,,Flea powder/pink
26-jul,1T,Pm,R,2136,2137,M,A,17,S,,
26-jul,1T,Pm,N,2235,2236,M,J,9.5,NS,,"DNA, orange on him?"
26-jul,2K,Mg,R,2311,2312,F,A,28,P/L,,
26-jul,1T,Pm,N,8761,8773,F,J,9.5,NB,,"DNA, orange on her?"
26-jul,2B,Mg,R,4003,8884,F,A,28,L,,
26-jul,2A,Mg,R,2127,,F,YY,20,L,,
26-jul,1D,Pm,R,2162,,M,A,21.5,S,,
26-jul,2H,Mg,R,4051,,M,A,,S,,
26-jul,1Q,Pm,R,8756,,F,A,19,L,,"orange, ran towards creek"
26-jul,2G,Mg,R,8759,,F,YY,23.5,NB,,
26-jul,2M,Mg,R,8762,,F,YY,19,NB,,
26-jul,2F,Mg,R,8763,,M,YY,17.5,NB,,
31-jul,1E,Pm,R,2301,2302,M,A,20,S,,
31-jul,1M,Mg,N,2157,2318,M,YY,18,NS,,
31-jul,2L,Pm,N,2319,2321,F,J,10,NB,,DNA
31-jul,2B,Pm,N,2305,2322,F,A,21,L,,DNA
31-jul,1T,Pm,N,2320,2323,M,J,11,NS,,"DNA, orange"
31-jul,1T,Pm,N,2316,2325,M,J,12.5,NS,,DNA
31-jul,1T,Pm,R,2120,,M,YY,15,NS,,
31-jul,2G,Mg,R,2141,,M,A,23,S,,
31-jul,1O,Pm,R,8756,,F,A,24,L,,"Rubbed, orange, combed = 0"
31-jul,2L,Pm,R,8891,,F,A,23.5,L,,"Combed = 0, powdered, pink"
02-ago,2L,Pm,R,2179,2180,M,YY,16,NS,,
02-ago,1T,Pm,R,2320,2323,M,J,11,NS,,
02-ago,1T,Pm,R,2316,2325,M,J,12.5,NB,,
02-ago,1S,Mg,R,2333,2334,F,YY,19.5,NB,,new tags
02-ago,2L,Pm,N,2335,2336,M,J,10.5,NS,,"DNA, orange or pink on him?"
02-ago,1T,Pm,R,8761,8773,F,J,10,NB,,
02-ago,1M,Pm,R,2120,,M,YY,15,NS,,orange on him?
02-ago,2A,Mg,R,2127,,F,A,26,P/L,,
02-ago,2H,Mg,R,2141,,M,A,19,S,,
02-ago,1A,Pm,R,2162,,M,A,22,S,,
02-ago,1O,Pm,R,8756,,F,A,20,L,,orange
02-ago,1N,Pm,R,8891,,F,A,24,P/L,,pink
07-ago,2F,Mg,R,2142,2143,F,A,27,L,,
07-ago,2L,Pm,R,2179,2180,M,YY,16,NS,,
07-ago,1T,Pm,R,2235,2236,M,J,13,NS,,
07-ago,1A,Pm,R,2305,2322,,,,,,dead
07-ago,1S,Pm,R,2320,2323,M,J,18,NS,,
07-ago,1S,Pm,R,2316,2325,M,J,12,NS,,
07-ago,1I,Mg,N,2339,2340,M,YY,15,NS,,
07-ago,2K,Pm,N,2343,2344,M,J,13,NS,,DNA
07-ago,2B,Mg,N,2345,2346,M,A,18.5,S,,
07-ago,2D,Mg,R,4003,8884,F,A,29,L,,
07-ago,1Q,Pm,R,2120,,M,YY,15,NS,,
07-ago,2A,Mg,R,2127,,F,YY,17.5,NB,,
07-ago,1O,Pm,R,8756,,F,A,20,L,,"Rubbed, orange"
09-ago,2F,Mg,R,2142,2143,F,A,27,L,,
09-ago,2L,Pm,R,2179,2180,M,YY,16,NS,,
09-ago,2L,Pm,R,2319,2321,F,J,11,NB,,
09-ago,1S,Pm,R,2320,2323,M,J,11.5,NS,,
09-ago,1T,Pm,R,2316,2325,M,YY,12,NS,,
09-ago,1I,Mg,N,2341,2342,F,J,16,NB,,
09-ago,2L,Pm,R,2343,2344,M,J,12,NS,,
09-ago,2L,Pm,N,2501,2502,M,J,13,NS,,DNA
09-ago,2K,Pm,N,2503,2504,F,J,12,NB,,"DNA, orange on her"
09-ago,1S,Pm,R,8761,8773,F,J,11.5,NS,,
09-ago,2B,Mg,R,4003,8884,F,A,28,L,,
09-ago,1Q,Pm,R,2120,,M,YY,14.5,NS,,
09-ago,1O,Pm,R,8756,,F,A,19,L,,orange
09-ago,2E,Mg,N,No tail,,,J,14,,,no tail! Escapee
14-ago,2G,Mg,R,2142,2143,F,A,22.5,L,,
14-ago,2L,Pm,R,2303,2304,M,A,14,NS,,
14-ago,2M,Pm,R,2319,2321,F,YY,12.5,NB,,
14-ago,1T,Pm,R,2320,2323,M,YY,13,NS,,
14-ago,1T,Pm,R,2316,2325,M,YY,13,NS,,
14-ago,1H,Mg,R,2341,2342,F,YY,18.5,NB,,
14-ago,2L,Pm,N,2511,2512,,J,14,,,"DNA, check sex"
14-ago,2A,Mg,R,2513,2514,F,A,,NB,,New tags
14-ago,1M,Pm,R,8756,,F,A,20,NB,,"comb = 0, rubbed, orange"
14-ago,2B,Mg,R,Hair tag 2,,F,YY,,,,"no ears, hair tagged"
16-ago,2L,Pm,R,2179,2180,M,YY,17,NS,,
16-ago,1T,Pm,R,2320,2323,M,J,13,NS,,
16-ago,2F,Mg,N,2337,2338,F,J,9,NB,,
16-ago,2L,Pm,R,2501,2502,M,J,16,NS,,
16-ago,2L,Pm,R,2503,2504,F,J,14.5,NB,,
16-ago,1A,Mg,R,2513,2514,F,A,25.5,NB,,
16-ago,2J,Pm,N,2519,2520,M,J,16,NS,,DNA
16-ago,1S,Pm,R,8761,8773,F,J,13.5,NB,,
16-ago,1O,Pm,R,8756,,F,A,19,L,,orange
16-ago,2B,Mg,R,Hair tag 2,,F,YY,17,NB,,no ears
16-ago,2C,Mg,R,No tail,,,J,15,,,
21-ago,2L,Pm,R,2179,2180,M,YY,17,NS,,
21-ago,1S,Pm,R,2235,2236,M,YY,14.5,NS,,
21-ago,2L,Pm,R,2319,2321,F,J,13,NB,,
21-ago,1T,Pm,R,2320,2323,M,YY,12,NS,,
21-ago,1E,Pm,N,2423,2473,M,YY,18,NS,,
21-ago,2L,Pm,R,2501,2502,M,J,15,NS,,
21-ago,1A,Mg,R,2513,2514,F,A,30,P,,
21-ago,2L,Pm,R,2519,2520,M,YY,15.5,NS,,
21-ago,1H,Pm,N,2523,2538,F,YY,15,NB,,DNA
21-ago,1L,Mg,N,2539,2540,M,J,16,NS,,
21-ago,2B,Mg,N,2541,2542,F,J,13,NB,,
21-ago,1O,Pm,R,8761,8773,F,YY,13,NB,,
