Date,Trap #,New/Recap,Species,Tag,Tag,Sex,Age,Weight,Condition,Remarks,
August 8th,1D,R,Pm,7775,B276,F,J,15.5,NB,,
August 8th,1E,,Zp,,,,,,,,
August 8th,1J,,Zp,,,,,,,,
August 8th,1K,R,Pm,B282,B283,F,J,16,NB,PC,
August 8th,1M,,Zp,,,,,,,,
August 8th,1P,R,Pm,7773,7774,M,J?,16,NS,hair clipped,
August 8th,1S,,Ta,,,,,,,,
August 8th,2K,R,Pm,B284,,F,A,24,NB,hard to bleed,
August 8th,2F,R,Pm,7775,B276,F,J,15.5,NB,caught for the 2nd time today (1D),
August 8th,2D,N,Pm,B299,B300,M,J,9,NS,"two juveniles in one trap, both bled",
August 8th,2D,N,Pm,B297,B298,M,J,8,NS,"two juveniles in one trap, both bled",
August 8th,2C,,Zp,,,,,,,,
August 11th,1A,R,Pm,B279,B281,M,A,17,NS,,
August 11th,1B,R,Pm,7917,7918,M,A,22,NS,HC,
August 11th,1C,R,Pm,B276,7775,F,A,17.5,NB,,
August 11th,1D,R,Pm,B292,,F,A,20,NB,PC,
August 11th,1H,R,Pm,B284,,F,A,25.5,L,one tag,
August 11th,1J,R,Pm,7909,,M,A,18,NS,one tag,
August 11th,1N,R,Cg,B288,,,,,,escaped,
August 11th,1S,,Ta,,,,,,,,
August 11th,2F,,Zp,,,,,,,,
August 11th,2D,,Zp,,,,,,,,
August 15th,1A,R,Pm,B279,B281,M,J,16,NS,,
August 15th,1B,R,Pm,7917,7918,M,J,15,NS,,
August 15th,1C,,Zp,,,,,,,,
August 15th,1E,R,Pm,7775,B276,F,J,15,NS,,
August 15th,1K,,Ta,,,,,,,,
August 15th,1P,,Ta,,,,,,,,
August 15th,1R,R,Pm,B287,7907,F,J,16,NB,,
August 15th,2F,R,Pm,B284,,F,A,22,NB,,
August 15th,2E,,Zp,,,,,,,,
August 15th,2D,R,Pm,B292,,F,A,21,L?,,
August 22nd,1A,N,Pm,8738,8739,M,YY,15.5,NS,didn't take hair,"CLOUDY, COOL"
August 22nd,1B,R,Pm,B281,8740,M,YY,16.5,NS,8740 = NEW TAG,
August 22nd,1E,R,Pm,7775,B276,F,YY,16,NB,,
August 22nd,1F,,Zp,,,,,,,,
August 22nd,1L,N,Pm,8741,8742,M,YY,13,NS,hair clipped,
August 22nd,1N,N,Pm,8743,8744,F,YY,11.5,NB,hair clipped,
August 22nd,1P,,Ta,,,,,,,,
