Date,Trap#,New/Recap,Spp.,Tag (one),Tag (two),Sex,Age,Wt,Condition,Remarks,,,
22-Jul,2L,R,Ta,,,M,A,41.5,S,,,,
22-Jul,1F,N,Zp,,,F,A,21.0,NB,Took hair,,,
22-Jul,1Q,R,Zp,,,F,A,30.0,P,white hair on head,,,
22-Jul,1S,R,Zp,,,F,A,27.0,P,,,,
22-Jul,1T,N,Zp,,,F,A,23.0,NB,Took hair,,,
22-Jul,2E,R,Zp,,,F,A,34.5,NB,,,,
22-Jul,2F,,Zp,,,,,,,Escaped,,,
27-Jul,2L,R,Pm,3986,5669,M,A,19.5,S,Added 5669,,,
27-Jul,1H,R,Pm,3987,5201,F,A,20.0,P/NB,,,,
27-Jul,2J,R,Pm,5079,5672,F,J,23.5,NB,"Added 5672, lost 5469, weight off?",,,
27-Jul,2C,R,Pm,5413,5430,M,A,22.0,NS,,,,
27-Jul,1K,R,Mg,5434,,M,A,21.0,S,"No tags, added 5434",,,
27-Jul,1M,R,Pm,5474,5475,F,J,13.5,NB,,,,
27-Jul,2D,R,Pm,5496,5497,M,J,13.5,NS,,,,
27-Jul,1N,N,Pm,5613,5614,F,J,13.5,NB,Took hair,,,
27-Jul,2M,R,Pm,5645,5646,F,A,24.0,P,,,,
27-Jul,2G,N,Mg,5666,5668,F,A,26.0,L,No scissors = no hair,,,
27-Jul,1C,R,Pm,,,,A,,,Escaped,,,
27-Jul,2B,R,Ta,,,M,A,47.0,S,,,,
27-Jul,2I,N,Ta,,,F,A,48.0,NB,No scissors = no hair,,,
27-Jul,1F,R,Zp,,,F,A,39.0,NB,Preg?,,,
27-Jul,1Q,R,Zp,,,F,A,25.5,NB,,,,
27-Jul,1R,N,Zp,,,F,A,22.5,NB,Took hair,,,
27-Jul,2E,R,Zp,,,M,A,25.0,S,,,,
27-Jul,1T,R,Zp,,,M,A,31.0,S,,,,
1-Aug,2C,R,Pm,3986,5669,M,A,21.0,S,,,,
1-Aug,1H,R,Pm,3987,5201,F,A,16.5,L,"Cold, running in circles",,,
1-Aug,1L,R,Mg,5434,,M,A,19.0,S,Tick on back of head,,,
1-Aug,2I,R,Pm,5474,5475,F,J,11.0,NB,white hair on head,,,
1-Aug,2J,R,Pm,5496,5497,M,J,12.0,NS,,,,
1-Aug,1M,R,Pm,5613,5614,M,J,12.0,NS,,,,
1-Aug,2M,R,Pm,5645,5646,F,A,19.0,P/B,,,,
1-Aug,1S,N,Pm,5706,5707,F,J,12.0,NB,Took hair,,,
1-Aug,2B,R,Pm,,,,A,,,"Trap door locked open, Pm ran out when I went to check it",,,
1-Aug,2K,R,Ta,,,F,A,50.0,NB,,,,
1-Aug,2G,R,Ta,,,M,A,50.0,NS,,,,
1-Aug,1C,R,Zp,,,F,A,32.5,P/L,,,,
1-Aug,1E,R,Zp,,,F,A,37.5,P/L,,,,
1-Aug,1F,N,Zp,,,F,A,28.0,B,Took hair,,,
1-Aug,1O,R,Zp,,,F,A,27.5,NB,,,,
1-Aug,2F,R,Zp,,,F,A,24.5,NB,,,,
3-Aug,2B,R,Pm,3986,,M,A,20.5,S,,,,
